County,Year,Population
Alamance,2016,"151,160"
Alexander,2016,"37,182"
Alleghany,2016,"11,150"
Anson,2016,"26,929"
Ashe,2016,"27,239"
Avery,2016,"17,805"
Beaufort,2016,"47,784"
Bertie,2016,"21,197"
Bladen,2016,"35,038"
Brunswick,2016,"107,429"
Buncombe,2016,"238,315"
Burke,2016,"90,824"
Cabarrus,2016,"178,116"
Caldwell,2016,"83,049"
Camden,2016,"9,980"
Carteret,2016,"66,463"
Caswell,2016,"23,727"
Catawba,2016,"154,742"
Chatham,2016,"63,486"
Cherokee,2016,"27,447"
Chowan,2016,"14,793"
Clay,2016,"10,591"
Cleveland,2016,"98,034"
Columbus,2016,"58,129"
Craven,2016,"103,498"
Cumberland,2016,"319,455"
Currituck,2016,"23,547"
Dare,2016,"33,920"
Davidson,2016,"162,824"
Davie,2016,"41,218"
Duplin,2016,"58,412"
Durham,2016,"269,998"
Edgecombe,2016,"56,511"
Forsyth,2016,"350,635"
Franklin,2016,"60,564"
Gaston,2016,"206,100"
Gates,2016,"12,185"
Graham,2016,"8,858"
Granville,2016,"57,550"
Greene,2016,"21,351"
Guilford,2016,"488,455"
Halifax,2016,"54,631"
Harnett,2016,"114,693"
Haywood,2016,"59,030"
Henderson,2016,"106,716"
Hertford,2016,"24,684"
Hoke,2016,"46,889"
Hyde,2016,"5,817"
Iredell,2016,"159,465"
Jackson,2016,"40,273"
Johnston,2016,"168,879"
Jones,2016,"10,163"
Lee,2016,"57,849"
Lenoir,2016,"59,511"
Lincoln,2016,"78,001"
Macon,2016,"33,925"
Madison,2016,"20,803"
Martin,2016,"24,515"
McDowell,2016,"45,002"
Mecklenburg,2016,"919,675"
Mitchell,2016,"15,581"
Montgomery,2016,"27,782"
Moore,2016,"88,250"
Nash,2016,"95,858"
New Hanover,2016,"202,683"
Northampton,2016,"22,104"
Onslow,2016,"177,801"
Orange,2016,"133,692"
Pamlico,2016,"13,143"
Pasquotank,2016,"40,661"
Pender,2016,"52,195"
Perquimans,2016,"13,452"
Person,2016,"39,479"
Pitt,2016,"168,173"
Polk,2016,"20,514"
Randolph,2016,"141,825"
Richmond,2016,"46,647"
Robeson,2016,"134,205"
Rockingham,2016,"93,663"
Rowan,2016,"138,493"
Rutherford,2016,"67,819"
Sampson,2016,"63,471"
Scotland,2016,"36,160"
Stanly,2016,"60,585"
Stokes,2016,"47,400"
Surry,2016,"73,752"
Swain,2016,"13,978"
Transylvania,2016,"33,089"
Tyrrell,2016,"4,407"
Union,2016,"201,328"
Vance,2016,"45,412"
Wake,2016,"901,036"
Warren,2016,"21,016"
Washington,2016,"13,193"
Watauga,2016,"51,061"
Wayne,2016,"122,665"
Wilkes,2016,"69,311"
Wilson,2016,"81,225"
Yadkin,2016,"38,412"
Yancey,2016,"17,817"
State,2016,"9,535,762"