OBJECTID,FIPS,CountyName,UpperCountyName,SapCountyId,DOTDistrictID,DOTDivisionID,SAP_CNTY_NBR,CNTY_NBR,DSTRCT_NBR,DIV_NBR,NAME,SHPNumber,ShapeSTArea,ShapeSTLength
1,29,Camden,CAMDEN,015,1,1,15,14,1,1,Camden,15,8650425940.6917,680450.73178134
2,73,Gates,GATES,037,1,1,37,36,1,1,Gates,37,9640705372.43159,444604.369559011
3,97,Iredell,IREDELL,049,2,12,49,48,2,12,Iredell,49,16670616923.6421,639632.141435414
4,193,Wilkes,WILKES,097,3,11,97,96,3,11,Wilkes,97,21111749733.5179,718209.059123046
5,179,Union,UNION,090,3,10,90,89,3,10,Union,90,17827945414.4958,584449.934640125
6,25,Cabarrus,CABARRUS,013,1,10,13,12,1,10,Cabarrus,13,10143637613.6408,438825.388863355
7,183,Wake,WAKE,092,1,5,92,91,1,5,Wake,92,23888310468.2691,702026.273700603
8,69,Franklin,FRANKLIN,035,3,5,35,34,3,5,Franklin,35,13787249495.5148,586071.092362175
9,141,Pender,PENDER,071,1,3,71,70,1,3,Pender,71,24589244260.903,830663.852256416
10,129,New Hanover,NEW HANOVER,065,3,3,65,64,3,3,New Hanover,65,6140589516.48883,514532.887367962
11,63,Durham,DURHAM,032,2,5,32,31,2,5,Durham,32,8303366184.27468,430700.480318274
12,135,Orange,ORANGE,068,1,7,68,67,1,7,Orange,68,11177847732.738,442314.909466499
13,37,Chatham,CHATHAM,019,1,8,19,18,1,8,Chatham,19,19753873886.4425,733483.314662088
14,1,Alamance,ALAMANCE,001,1,7,1,0,1,7,Alamance,1,12107186416.3927,476690.857702729
15,85,Harnett,HARNETT,043,2,6,43,42,2,6,Harnett,43,16774317644.1973,594483.519410535
16,125,Moore,MOORE,063,2,8,63,62,2,8,Moore,63,19667956413.7223,762525.038572827
17,13,Beaufort,BEAUFORT,007,1,2,7,6,1,2,Beaufort,7,26859605713.524,889915.351084753
18,117,Martin,MARTIN,058,3,1,58,57,3,1,Martin,59,12730531658.6746,740355.073392889
19,147,Pitt,PITT,074,1,2,74,73,1,2,Pitt,74,18271650864.4258,750034.49864014
20,79,Greene,GREENE,040,1,2,40,39,1,2,Greene,40,7448298694.06744,415266.663152912
21,195,Wilson,WILSON,098,2,4,98,97,2,4,Wilson,98,10399597412.5401,430628.755024495
22,191,Wayne,WAYNE,096,3,4,96,95,3,4,Wayne,96,15544220405.4967,579641.903107846
23,7,Anson,ANSON,004,3,10,4,3,3,10,Anson,4,14970199232.786,575503.754865898
24,107,Lenoir,LENOIR,054,2,2,54,53,2,2,Lenoir,54,11185878705.6877,557870.359045255
25,155,Robeson,ROBESON,078,1,6,78,77,1,6,Robeson,78,26460080746.566,827047.421987631
26,93,Hoke,HOKE,047,2,8,47,46,2,8,Hoke,47,10916060976.3594,535987.465198552
27,101,Johnston,JOHNSTON,051,3,4,51,50,3,4,Johnston,51,22177432396.2715,673516.101148227
28,19,Brunswick,BRUNSWICK,010,3,3,10,9,3,3,Brunswick,10,24914885076.8928,880044.344752669
29,47,Columbus,COLUMBUS,024,3,6,24,23,3,6,Columbus,24,26624763069.9464,968274.879880244
30,17,Bladen,BLADEN,009,3,6,9,8,3,6,Bladen,9,24741523503.1552,872252.895513818
31,133,Onslow,ONSLOW,067,1,3,67,66,1,3,Onslow,67,22747152410.9494,703791.933459252
32,163,Sampson,SAMPSON,082,2,3,82,81,2,3,Sampson,82,26411683746.1226,951879.534585875
33,31,Carteret,CARTERET,016,2,2,16,15,2,2,Carteret,16,28966566494.1598,1003010.36648762
34,61,Duplin,DUPLIN,031,2,3,31,30,2,3,Duplin,31,22861381734.8575,673191.407149555
35,165,Scotland,SCOTLAND,083,2,8,83,82,2,8,Scotland,83,8936543764.36975,510787.109578505
36,153,Richmond,RICHMOND,077,2,8,77,76,2,8,Richmond,77,13370041950.6226,683020.68053976
37,103,Jones,JONES,052,2,2,52,51,2,2,Jones,52,13202674192.3083,737436.294246777
38,49,Craven,CRAVEN,025,2,2,25,24,2,2,Craven,25,21545383748.0727,968408.424412883
39,51,Cumberland,CUMBERLAND,026,2,6,26,25,2,6,Cumberland,26,18352591643.4714,717940.276164877
40,137,Pamlico,PAMLICO,069,2,2,69,68,2,2,Pamlico,69,15632667322.3354,615613.218329749
41,119,Mecklenburg,MECKLENBURG,060,2,10,60,59,2,10,Mecklenburg,60,15202529804.5424,635613.25305271
42,99,Jackson,JACKSON,050,2,14,50,49,2,14,Jackson,50,13792706419.1397,648549.224958953
43,175,Transylvania,TRANSYLVANIA,088,1,14,88,87,1,14,Transylvania,88,10600068390.9518,548386.523634129
44,95,Hyde,HYDE,048,3,1,48,47,3,1,Hyde,48,38949225636.0541,1025891.10229819
45,123,Montgomery,MONTGOMERY,062,1,8,62,61,1,8,Montgomery,62,13971606175.5442,597819.705407904
46,167,Stanly,STANLY,084,1,10,84,83,1,10,Stanly,84,11284923675.8581,547988.428422135
47,71,Gaston,GASTON,036,1,12,36,35,1,12,Gaston,36,10136315540.7657,496634.404417729
48,45,Cleveland,CLEVELAND,023,1,12,23,22,1,12,Cleveland,23,13048810605.7106,517276.411611309
49,113,Macon,MACON,056,3,14,56,55,3,14,Macon,57,14484033358.0102,656906.770984735
50,39,Cherokee,CHEROKEE,020,3,14,20,19,3,14,Cherokee,20,13006698079.4589,614863.019621305
51,43,Clay,CLAY,022,3,14,22,21,3,14,Clay,22,6153362609.04484,449623.071327043
52,89,Henderson,HENDERSON,045,1,14,45,44,1,14,Henderson,45,10457322037.5994,599031.945567942
53,161,Rutherford,RUTHERFORD,081,1,13,81,80,1,13,Rutherford,81,15810287981.4975,647841.105551135
54,149,Polk,POLK,075,1,14,75,74,1,14,Polk,75,6645518384.78524,380536.8339879
55,55,Dare,DARE,028,1,1,28,27,1,1,Dare,28,34291143995.3112,947582.512144412
56,105,Lee,LEE,053,2,8,53,52,2,8,Lee,53,7224520836.28429,417759.337774618
57,75,Graham,GRAHAM,038,3,14,38,37,3,14,Graham,38,8407157625.79846,476642.886354435
58,87,Haywood,HAYWOOD,044,2,14,44,43,2,14,Haywood,44,15455121986.4119,669790.872354874
59,173,Swain,SWAIN,087,2,14,87,86,2,14,Swain,87,15057491262.9102,851283.118235144
60,109,Lincoln,LINCOLN,055,3,12,55,54,3,12,Lincoln,55,8496812064.31203,455023.669365124
61,21,Buncombe,BUNCOMBE,011,2,13,11,10,2,13,Buncombe,11,18391145429.7119,790738.319015676
62,159,Rowan,ROWAN,080,1,9,80,79,1,9,Rowan,80,14603197216.5693,570352.136784581
63,57,Davidson,DAVIDSON,029,1,9,29,28,1,9,Davidson,29,15822136633.9396,642637.926368745
64,151,Randolph,RANDOLPH,076,1,8,76,75,1,8,Randolph,76,22023859784.0473,593047.357862178
65,111,McDowell,MCDOWELL,059,1,13,59,58,1,13,McDowell,56,12410163346.4018,587223.198476373
66,35,Catawba,CATAWBA,018,3,12,18,17,3,12,Catawba,18,11600644459.7714,492603.051766238
67,23,Burke,BURKE,012,1,13,12,11,1,13,Burke,12,14337555010.6912,642336.58165997
68,177,Tyrrell,TYRRELL,089,3,1,89,88,3,1,Tyrrell,89,16786589780.8176,700122.351853954
69,65,Edgecombe,EDGECOMBE,033,1,4,33,32,1,4,Edgecombe,33,14129036626.4103,592139.867573077
70,187,Washington,WASHINGTON,094,3,1,94,93,3,1,Washington,94,11576090308.4228,483592.537509243
71,127,Nash,NASH,064,2,4,64,63,2,4,Nash,64,15131475323.7759,621305.473431859
72,115,Madison,MADISON,057,2,13,57,56,2,13,Madison,58,12584845172.5577,660215.91264686
73,199,Yancey,YANCEY,100,2,13,100,99,2,13,Yancey,100,8729845647.86506,540363.880884583
74,59,Davie,DAVIE,030,2,9,30,29,2,9,Davie,30,7430255745.02885,480115.65844713
75,27,Caldwell,CALDWELL,014,2,11,14,13,2,11,Caldwell,14,13229092207.6359,542400.304102025
76,3,Alexander,ALEXANDER,002,2,12,2,1,2,12,Alexander,2,7343463877.4433,387342.312838951
77,15,Bertie,BERTIE,008,2,1,8,7,2,1,Bertie,8,20665029504.3869,829678.56599957
78,121,Mitchell,MITCHELL,061,1,13,61,60,1,13,Mitchell,61,6185163883.33206,557594.569657056
79,81,Guilford,GUILFORD,041,2,7,41,40,2,7,Guilford,41,18482105015.8605,546976.815735466
80,11,Avery,AVERY,006,2,11,6,5,2,11,Avery,6,6899847744.35484,431669.980472678
81,67,Forsyth,FORSYTH,034,2,9,34,33,2,9,Forsyth,34,11494966378.6291,490236.858109259
82,41,Chowan,CHOWAN,021,3,1,21,20,3,1,Chowan,21,6513382302.9236,438858.65110544
83,83,Halifax,HALIFAX,042,1,4,42,41,1,4,Halifax,42,20359795428.5881,897018.402802176
84,77,Granville,GRANVILLE,039,2,5,39,38,2,5,Granville,39,14988500014.4496,573526.535763127
85,143,Perquimans,PERQUIMANS,072,1,1,72,71,1,1,Perquimans,72,9170253706.39992,443325.941978295
86,197,Yadkin,YADKIN,099,1,11,99,98,1,11,Yadkin,99,9415393876.8147,452166.535317228
87,53,Currituck,CURRITUCK,027,1,1,27,26,1,1,Currituck,27,12397502173.8959,656431.032055842
88,139,Pasquotank,PASQUOTANK,070,1,1,70,69,1,1,Pasquotank,70,8116743132.85013,542905.15087853
89,189,Watauga,WATAUGA,095,2,11,95,94,2,11,Watauga,95,8735203026.05278,444608.492760748
90,181,Vance,VANCE,091,3,5,91,90,3,5,Vance,91,7491370572.65364,391987.313342834
91,131,Northampton,NORTHAMPTON,066,2,1,66,65,2,1,Northampton,66,15351125927.929,775923.200828811
92,185,Warren,WARREN,093,3,5,93,92,3,5,Warren,93,12388232140.0882,504861.491496135
93,145,Person,PERSON,073,2,5,73,72,2,5,Person,73,11275173907.7741,425031.965663082
94,33,Caswell,CASWELL,017,3,7,17,16,3,7,Caswell,17,11951718877.2539,437282.092828304
95,157,Rockingham,ROCKINGHAM,079,3,7,79,78,3,7,Rockingham,79,15821325494.0818,510706.829040208
96,171,Surry,SURRY,086,1,11,86,85,1,11,Surry,86,14991263630.3299,575219.788947404
97,91,Hertford,HERTFORD,046,2,1,46,45,2,1,Hertford,46,10048456087.4593,588862.054850541
98,169,Stokes,STOKES,085,2,9,85,84,2,9,Stokes,85,12708995566.2927,453418.519271747
99,9,Ashe,ASHE,005,3,11,5,4,3,11,Ashe,5,11939188224.4716,520045.398396734
100,5,Alleghany,ALLEGHANY,003,1,11,3,2,1,11,Alleghany,3,6576362290.69733,439166.717184644
